TimeStamp,FlowSensor
1438726439310,0.10344827586206912
1438726439411,0.10344827586206912
1438726439512,0.10344827586206912
1438726439613,-30.517241379310388
1438726439714,-30.517241379310388
1438726439815,-30.517241379310388
1438726439916,-29.586206896551765
1438726440018,-29.586206896551765
1438726440119,-22.862068965517274
1438726440220,-22.862068965517274
1438726440321,-22.862068965517274
1438726440422,-31.965517241379356
1438726440523,-31.965517241379356
1438726440624,-17.31034482758623
1438726440725,-17.31034482758623
1438726440826,-17.31034482758623
1438726440927,-10.55172413793105
1438726441029,-10.55172413793105
1438726441130,-5.655172413793111
1438726441231,-5.655172413793111
1438726441332,-5.655172413793111
1438726441433,-3.965517241379316
1438726441534,-3.965517241379316
1438726441635,-2.4137931034482794
1438726441736,-2.4137931034482794
1438726441837,-2.4137931034482794
1438726441938,-1.8965517241379337
1438726442039,-1.8965517241379337
1438726442140,-1.1379310344827602
1438726442241,-1.1379310344827602
1438726442342,-1.1379310344827602
1438726442444,-0.9655172413793117
1438726442545,-0.9655172413793117
1438726442646,-0.6551724137931043
1438726442747,-0.6551724137931043
1438726442848,-0.6551724137931043
1438726442949,-0.6206896551724147
1438726443050,-0.6206896551724147
1438726443151,-0.31034482758620735
1438726443252,-0.31034482758620735
1438726443353,-0.31034482758620735
1438726443454,-0.31034482758620735
1438726443555,-0.31034482758620735
1438726443656,-0.10344827586206912
1438726443757,-0.10344827586206912
1438726443858,-0.24137931034482793
1438726443959,-0.24137931034482793
1438726444060,-0.24137931034482793
1438726444161,-0.1724137931034485
1438726444262,-0.1724137931034485
1438726444363,-0.1379310344827588
1438726444464,-0.1379310344827588
1438726444565,-0.1379310344827588
1438726444667,-0.10344827586206912
1438726444768,-0.10344827586206912
1438726444869,-0.0689655172413794
1438726444970,-0.0689655172413794
1438726445071,-0.0689655172413794
1438726445172,-0.0344827586206897
1438726445273,-0.0344827586206897
1438726445374,-0.0689655172413794
1438726445475,-0.0689655172413794
1438726445576,-0.0689655172413794
1438726445678,-0.0344827586206897
1438726445779,-0.0344827586206897
1438726445880,0.0
1438726445981,0.0
1438726446082,0.0
1438726446183,-0.0689655172413794
1438726446284,-0.0689655172413794
1438726446385,-0.0344827586206897
1438726446486,-0.0344827586206897
1438726446587,-0.0344827586206897
1438726446689,0.0
1438726446789,0.0
1438726446891,0.0344827586206897
1438726446992,0.0344827586206897
1438726447093,0.0344827586206897
1438726447194,0.0
1438726447295,0.0
1438726447396,0.0344827586206897
1438726447497,0.0344827586206897
1438726447598,0.0344827586206897
1438726447699,0.0344827586206897
1438726447800,0.0344827586206897
1438726447901,0.0
1438726448003,0.0
1438726448104,0.0
1438726448205,0.0344827586206897
1438726448306,0.0344827586206897
1438726448407,0.0
1438726448508,0.0
1438726448609,0.0344827586206897
1438726448710,0.0344827586206897
1438726448811,0.0344827586206897
1438726448912,0.0344827586206897
1438726449013,0.0344827586206897
1438726449115,0.0344827586206897
1438726449216,0.0344827586206897
1438726449317,0.0344827586206897
1438726449418,0.0344827586206897
1438726449519,0.0344827586206897
1438726449620,0.0344827586206897
1438726449721,0.0344827586206897
1438726449822,0.0344827586206897
